City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Newry,GB,54.1784,-6.3374,59.11,79,56,4.85,broken clouds
293,Skelleftea,SE,64.7507,20.9528,51.01,99,0,5.75,clear sky
294,Rabo De Peixe,PT,37.8,-25.5833,72.91,78,20,16.11,few clouds
295,Totma,RU,59.9747,42.7642,50.2,97,76,6.4,broken clouds
296,Stromness,GB,58.965,-3.296,55.36,89,63,18.99,broken clouds
297,Lundin Links,GB,56.2124,-2.953,60.73,67,40,16.11,scattered clouds
298,Horn,DE,51.8715,8.9451,57.78,78,53,8.48,broken clouds
299,Chutove,UA,49.7104,35.1603,55.47,92,100,16.71,overcast clouds
300,Manbij,SY,36.5281,37.9549,82.13,19,36,10.74,scattered clouds
301,Pallasovka,RU,50.05,46.8833,69.94,53,100,14.58,overcast clouds
302,Gura Teghii,RO,45.4833,26.4167,49.68,74,6,15.17,clear sky
303,Sovetskaya,RU,44.7769,41.1722,69.03,53,100,8.59,overcast clouds
304,Lappeenranta,FI,61.0587,28.1887,42.85,93,93,2.3,overcast clouds
305,Durusu,TR,41.3053,28.6767,70.84,68,16,8.99,few clouds
306,Sudak,UA,44.85,34.9667,62.2,82,96,21.79,light rain
307,Kirkenes,NO,69.7271,30.0458,43.02,93,75,9.22,light intensity drizzle
308,Adigeni,GE,41.6819,42.6987,59.76,58,67,0.92,broken clouds
309,Argir,FO,61.9959,-6.7715,52.77,84,12,26.33,few clouds
310,Marbella,ES,36.5154,-4.8858,77.07,38,68,6.69,broken clouds
311,Garsten,AT,47.9987,14.4035,55.42,99,100,5.12,light rain
312,Aix-Les-Bains,FR,45.6834,5.9224,71.08,88,0,0.0,clear sky
313,Cervo,ES,43.6702,-7.4101,64.67,81,100,7.36,overcast clouds
314,Pavlohrad,UA,48.5167,35.8667,56.93,91,100,18.19,light rain
315,Zaqatala,AZ,41.6336,46.6433,68.47,52,39,9.22,scattered clouds
316,Ebensee,AT,47.8072,13.779,52.72,99,100,3.13,moderate rain
317,Komsomolets,KZ,53.7453,62.0708,45.52,31,100,6.29,overcast clouds
318,Zaozerne,UA,45.1582,33.2787,64.35,60,98,21.7,overcast clouds
319,Kuryk,KZ,43.2,51.65,68.16,27,17,26.26,few clouds
320,Holme,DK,56.1138,10.1725,56.17,78,1,15.32,clear sky
321,Elektrogorsk,RU,55.8794,38.7919,48.67,83,95,5.97,overcast clouds
322,Tangier,MA,35.7806,-5.8137,78.15,57,0,26.46,clear sky
323,Podporozhye,RU,60.9112,34.1706,42.78,83,68,5.91,broken clouds
324,Algiers,DZ,36.7525,3.042,78.62,54,0,10.36,clear sky
325,Frohnleiten,AT,47.2667,15.3167,60.15,97,100,4.32,light rain
326,Pyaozerskiy,RU,65.8333,31.1667,42.1,87,57,5.08,broken clouds
327,Agropoli,IT,40.3469,14.9966,68.77,84,65,2.64,broken clouds
328,Saint-Jean-De-Luz,FR,43.3891,-1.6581,69.71,77,0,4.61,clear sky
329,Kosa,RU,59.9445,54.9977,49.39,83,100,12.95,light rain
330,Mezhevoy,RU,55.1711,58.7814,46.67,68,99,4.12,overcast clouds
331,Birkerod,DK,55.8476,12.4279,55.94,83,10,1.01,clear sky
332,Ashington,GB,50.9331,-0.3909,66.18,72,20,4.61,few clouds
333,Murgab,TM,37.4966,61.9714,66.07,48,40,4.61,scattered clouds
334,Svetlyy,RU,54.675,20.1347,51.96,85,77,13.69,broken clouds
335,Polohy,UA,47.4844,36.2536,60.84,93,100,17.16,moderate rain
336,Palanga,LT,55.9175,21.0686,53.62,94,75,6.91,broken clouds
337,Pitea,SE,65.3172,21.4794,50.09,85,100,5.73,overcast clouds
338,Boryslav,UA,49.2867,23.4324,49.23,83,29,9.91,scattered clouds
339,Wielun,PL,51.221,18.5696,54.18,77,92,10.94,light rain
340,Melito Di Porto Salvo,IT,37.9222,15.7714,74.23,60,0,13.8,clear sky
341,Yuzhnyy,RU,53.2542,83.6936,31.53,69,0,6.71,clear sky
342,Ballinrobe,IE,53.6333,-9.2333,57.74,71,57,5.64,broken clouds
343,Urdoma,RU,61.7533,48.5442,50.59,99,100,5.55,overcast clouds
344,Lebork,PL,54.5392,17.7501,51.35,90,82,10.18,broken clouds
345,Casale Monferrato,IT,45.1334,8.4571,73.42,73,7,5.3,clear sky
346,Qovlar,AZ,40.948,45.735,68.95,49,7,2.66,clear sky
